Input,Predicted,Actual
It got in your mouth!,<unk> <unk> <unk> <unk> <unk> !,यह आपके मुँह में चला गया!
- Reinstate them now!,अब <unk> <unk> <unk> कर,- उन्हें अभी बहाल करो!
I will first warn others.,<unk> <unk> <unk> <unk> <unk> <unk> .,पहले दूसरों को सचेत करेंगे.
"""Who is this King Alexander?""",""" <unk> <unk> <unk> <unk> <unk> है ?","""कौनइसराजासिकंदरहै"""
This--this-- it's a forgery.,यह एक <unk> <unk> है .,इस - इस - यह एक जालसाजी है.
I just need to focus.,<unk> सिर्फ के के <unk> .,मैं तो बस ध्यान केंद्रित करने की जरूरत है।
-Do you hear something?,<unk> <unk> कुछ <unk> ? ?,क्या तुमने कुछ सुना?
Maggie was right about you.,<unk> <unk> के में में था .,मैगी आप के बारे में सही था।
I shall let you live.,<unk> <unk> <unk> <unk> . .,मैं तुम्हें रहने दे रहा हूँ
"No, he didn't, Hephaistion.","<unk> , वह , , , नहीं .","नहीं, वह Hephaistion, नहीं किया था."
"I'm an old man, Murph.",<unk> <unk> <unk> <unk> <unk> <unk> <unk>,"मैं एक बूढा आदमी हूँ , Murph."
Ellen Niles is dead.,<unk> <unk> <unk> <unk> है है,एलेन नाइल्स मर चुका है.
No sign of him.,<unk> <unk> <unk> <unk> <unk>,उसकेबारे मेंकोईसंकेतनहींहै.
-Is that what we said?,<unk> यही क्या क्या क्या है ?,है कि हम क्या कहा?
I left my friends unprotected!,<unk> <unk> <unk> <unk> <unk> ! !,अपने दोस्तों को असुरक्षित छोड़ दिया!
Ella... are you there?,<unk> . . . . . ?,वह ... आप वहाँ हैं?
- Lucy must be thrilled.,<unk> <unk> <unk> <unk> . .,- लूसी बहुत खुश होगी।
It's not that easy!,<unk> नहीं नहीं नहीं है ! !,यह इतना आसान नहीं है!
"Come on, CASE has her!","<unk> , <unk> <unk> <unk> <unk> !","चलो , CASE को वो मिल गयी !"
"Shout, scream, say something!","<unk> , , , , कुछ कुछ","चीखो, चिल्लाओ, कुछ बोलो!"
I told you go home.,<unk> <unk> के वापस वापस . .,मैं तुम्हें घर जाना बताया।
I might drop by.,<unk> <unk> <unk> <unk> कर कर,शायद मैं भी चला जाऊँ।
"That's very good, Jack.","<unk> <unk> बहुत , <unk> <unk> .","यह बहुत अच्छा है, जैक."
"Sir, the crowd is growing.","<unk> <unk> , <unk> <unk>","महोदय, भीड़ बढ़ रही है।"
Tiger Six is down!,<unk> <unk> <unk> नीचे है !,टाइगर छह नीचे है!
"Why you running away, Weinselstein?","आप <unk> <unk> हो हो , ?","आप Weinselstein, दूर चल रहा है क्यों?"
We have to help him!,उसे मदद मदद मदद ! ! !,हमें उसकी मदद करनी होगी!
Do not shoot him.,<unk> <unk> <unk> नहीं नहीं .,उसे मत मारो!
Or do not forgive sakim.,<unk> <unk> नहीं नहीं नहीं नहीं .,या नहीं sakim माफ नहीं है.
"The kingdom is mine, now.","<unk> <unk> , , अब अब","ये राज्य अब मेरा है,"
It won't be so bad.,<unk> नहीं नहीं नहीं नहीं .,इतना बुरा नहीं होगा.
I never got any call.,<unk> कभी कभी कभी नहीं नहीं नहीं,मैं किसी भी फोन नहीं मिला.
"Please excuse me, Mr. Bond.",<unk> मैं मैं <unk> <unk> <unk> <unk>,"माफ़ कीजिए, श्री बॉन्ड।"
I DIDN'T KILL NO ONE.,<unk> <unk> <unk> <unk> <unk> <unk> <unk>,मैं कोई भी नहीं मारा.
That scares me a little.,<unk> <unk> <unk> <unk> <unk> ।,उनसे मुझे थोड़ा डर लगता है.
So does Joy Behar.,<unk> <unk> <unk> <unk> <unk>,तो जोय Behar है.
You fight for them today.,<unk> <unk> <unk> के लिए .,आज आप उनके लिए लड़ते हैं.
The alpha protects them all.,<unk> <unk> <unk> <unk> <unk> <unk> कर,ऐल्फ़ा उन सबकी रक्षा करता है।
Are you new to me?,<unk> मेरे मेरे लिए लिए ? ?,मैं तुमसे पहली बार मिल रहा हूँ क्या?
- Does it do anything?,<unk> कुछ कुछ नहीं है ?,क्या यह कुछ करती है?
I just thought since we...,<unk> हम सिर्फ . . . .,मैं सिर्फ हम के बाद सोचा था कि...
This is for you.,<unk> लिए लिए लिए लिए है,यह आपके लिए है.
Your daughter is fine.,<unk> <unk> <unk> है है .,तुम्हारी लड़की ठीक है.
That girl..where did she go?,<unk> <unk> <unk> <unk> से गया,यही कारण है कि वह girl.. where जाना था?
A 500 rupee note.,<unk> <unk> <unk> <unk> <unk> <unk>,500 रुपए का नोट.
May God bless you.,<unk> <unk> <unk> <unk> <unk> .,ईश्वर तुम्हें आशीर्वाद दे.
- What are you doing?,<unk> तुम कर रहे हो ?,- तुम क्या कर रहे हो?
"It got done, didn't it?","<unk> , , नहीं नहीं ? ?",यह किया गया यह नहीं था?
What's up with him?,<unk> <unk> <unk> लिए ?,इसे क्या problem है?
We will leave without you.,<unk> <unk> <unk> नाश्ता लिए . .,हम तुम्हारे बिना छोड़ देंगे.
Get them and what?,<unk> <unk> <unk> <unk> ? ?,जाओ उन्हें और क्या?
He's based in Denmark.,<unk> <unk> <unk> <unk> .,उन्होंने कहा कि डेनमार्क में आधारित है।
AND I'LL NEED 20 MINUTES.,<unk> <unk> <unk> <unk> <unk> <unk> <unk>,और मैं 20 मिनट की आवश्यकता होगी.
What can I say?,<unk> <unk> <unk> कर कर सकते,What can I say?
Whatever the hell that is.,<unk> कि कि है .,उसका जो भी मतलब हो।
Is he stewing a pig?,<unk> <unk> <unk> <unk> <unk> है,शायद घर पे सूवर का सूप बनाता हो ?
You've very little time left.,<unk> <unk> <unk> <unk> है है,तुम्हारे पास बहुत थोडा समय बाकी है.
- We gotta move.,<unk> <unk> <unk> <unk> .,- हमें चलना होगा.
You've gone too far.,<unk> हमारे ही से से है है,तुम बहुत दूर चले गए हैं.
- Doesn't matter now.,<unk> अब नहीं नहीं नहीं नहीं,-अब कोई फ़र्क नहीं पड़ता।
Have your tech stand down.,<unk> <unk> <unk> नीचे <unk> .,अपनीतकनीकनीचेखड़ेहै.
Why don't we pull over?,<unk> हम नहीं नहीं नहीं ? ?,क्यों नहीं हम पर करना है?
And now you're lying unconscious,<unk> आप <unk> पर कर कर रहे,और अब तुम झूठ बोल रहे हो बेहोश
I carry them everywhere.,<unk> <unk> <unk> <unk> <unk> .,मैं उन्हें हर जगह ले जाता हूं.
There are terrorists here!,<unk> <unk> <unk> हो हो हो,यहाँ आतंकवादी हैं!
He Will kill him.,<unk> <unk> <unk> <unk> <unk> दिया,वह उसे मार डालेगा।
Outcome... would be death.,<unk> . . . . . .,परिणाम ... मौत होगी।
Verne was not right.,<unk> नहीं नहीं नहीं नहीं .,Verne सही नहीं था.
I made a terrible discovery.,<unk> <unk> <unk> <unk> <unk> .,मुझे एक खौफ़नाक बात पता चली।
According to Malaysian Police rules-,<unk>,मलेशियाई पुलिस नियमों के अनुसार
Chocolate it shall be.,<unk> यह नहीं . . .,चॉकलेट होगा.
We are going in hard.,<unk> में में जा जा रहे .,हम मुश्किल में जा रहे हैं.
Tumors that must be removed.,<unk> <unk> <unk> <unk> . .,हटा दिया जाना चाहिए कि ट्यूमर.
"Oh, wait, no-one told you?",एक <unk> भी <unk> ?,"रुकिए, किसी ने बताया नहीं?"
What took you so long?,आप आप इसे <unk> है ? ?,तुम्हें इतना समय क्यों लगा?
